event_code,event_name,event_category,is_batter_event
0,Unknown,unknown,false
1,No play,administrative,false
2,Generic out,out,true
3,Strikeout,out,true
4,Stolen base,baserunning,false
5,Defensive indifference,baserunning,false
6,Caught stealing,baserunning,false
7,Pickoff error,fielding,false
8,Pickoff,fielding,false
9,Wild pitch,pitching,false
10,Passed ball,fielding,false
11,Balk,pitching,false
12,Other advance,baserunning,false
13,Foul error,fielding,false
14,Walk,reach,true
15,Intentional walk,reach,true
16,Hit by pitch,reach,true
17,Interference,reach,true
18,Error,reach,true
19,Fielder's choice,out,true
20,Single,hit,true
21,Double,hit,true
22,Triple,hit,true
23,Home run,hit,true
24,Missing play,unknown,false
